,X,Latitude,Longitude,Crop.productivity,Forest.productivity,Grassland.productivity,Financial.capital,Human.capital,Social.capital,Manufactured.capital,Urban.capital,FR,BT,Region
43,43,80,154,0.239002917,0,0.436770192,0.62155559,0.593544165,0.594951653,0.686992385,0.037040798,Int_Fa,0,AT
44,44,80,155,0.243189836,0,0.436770241,0.62155559,0.593544165,0.594951653,0.686992385,0.010209186,Int_Fa,0,AT
45,45,80,156,0.240985222,0,0.437884928,0.62155559,0.593544165,0.594951653,0.686992385,0.019491051,Int_Fa,0,AT
46,46,80,157,0.23467123,0,0.443124155,0.62155559,0.593544165,0.594951653,0.686992385,0.057866505,Int_Fa,0,AT
47,47,80,158,0.11971272,0,0.329352732,0.62155559,0.593544165,0.594951653,0.686992385,0.029856235,Mix_Fa,0,AT
48,48,80,159,0,0.122494439,0,0.62155559,0.593544165,0.594951653,0.686992385,0.027836931,MF,0,AT
49,49,80,160,0.128722174,0,0.328074031,0.62155559,0.593544165,0.594951653,0.686992385,0.03022023,Multifun,0,AT
50,50,80,161,0.23084434,0.433111692,0.311584884,0.62155559,0.593544165,0.594951653,0.686992385,0.318400062,Multifun,0,AT
51,51,80,162,0.2313007,0.433111773,0.324561913,0.62155559,0.593544165,0.594951653,0.686992385,0.232020645,Multifun,0,AT
52,52,80,163,0.082160637,0,0.324561913,0.62155559,0.593544165,0.594951653,0.686992385,0.094083973,IA,0,AT
53,53,80,164,0.230874493,0.225838971,0.311230317,0.62155559,0.593544165,0.594951653,0.686992385,0.049693948,IA,0,AT
54,54,80,165,0.357405149,0.276889831,0.295405211,0.62155559,0.593544165,0.594951653,0.686992385,0.044572031,Int_AF,0,AT
55,55,81,154,0,0.216637718,0,0.619563078,0.591641449,0.593044425,0.684790104,0.025881722,MF,0,AT
56,56,81,155,0.388400379,0,0.34936621,0.619563078,0.591641449,0.593044425,0.684790104,0.036576506,Multifun,0,AT
57,57,81,156,0.387793827,0,0.348667164,0.619563078,0.591641449,0.593044425,0.684790104,0.027661307,IA,0,AT
58,58,81,157,0.502917124,0,0.435370093,0.619563078,0.591641449,0.593044425,0.684790104,0.08110931,Int_Fa,0,AT
59,59,81,158,0.350807345,0,0.301580142,0.619563078,0.591641449,0.593044425,0.684790104,0.059952988,IA,0,AT
60,60,81,159,0.35172497,0,0.31959728,0.619563078,0.591641449,0.593044425,0.684790104,0.086162984,IA,0,AT
61,61,81,160,0.351541282,0,0.323521469,0.619563078,0.591641449,0.593044425,0.684790104,0.127214367,Multifun,0,AT
62,62,81,161,0.227306195,0.431723353,0.320507966,0.619563078,0.591641449,0.593044425,0.684790104,0.297605252,Multifun,0,AT
63,63,81,163,0.081902328,0.387012973,0.323521421,0.619563078,0.591641449,0.593044425,0.684790104,0.124432687,Mix_Fa,0,AT
64,64,81,164,0.081893091,0,0.323521469,0.619563078,0.591641449,0.593044425,0.684790104,0.05228177,IA,0,AT
65,65,81,165,0.298030635,0.294218212,0.317226514,0.619563078,0.591641449,0.593044425,0.684790104,0.038459756,Mix_Fa,0,AT
66,66,82,154,0,0.204593693,0,0.617565164,0.589733575,0.591132027,0.682581852,0.005665973,MF,0,AT
67,67,82,155,0,0.220617457,0,0.617565164,0.589733575,0.591132027,0.682581852,0.015792394,MF,0,AT
68,68,82,156,0.217384456,0.122676893,0.308385947,0.617565164,0.589733575,0.591132027,0.682581852,0.018220668,Multifun,0,AT
69,69,82,157,0.386204156,0,0.348239652,0.617565164,0.589733575,0.591132027,0.682581852,0.062902636,Multifun,0,AT
70,70,82,158,0.352408514,0,0,0.617565164,0.589733575,0.591132027,0.682581852,0.057658597,IA,0,AT
71,71,82,159,0.228929086,0,0.3092322,0.617565164,0.589733575,0.591132027,0.682581852,0.048522431,IA,0,AT
72,72,82,160,0.229070891,0,0.3092322,0.617565164,0.589733575,0.591132027,0.682581852,0.045990826,IA,0,AT
73,73,82,161,0.228556504,0,0.322478205,0.617565164,0.589733575,0.591132027,0.682581852,0.091800822,IA,0,AT
74,74,82,162,0.227149529,0,0.29536019,0.617565164,0.589733575,0.591132027,0.682581852,0.078961976,IA,0,AT
75,75,82,163,0.229679794,0,0.295360141,0.617565164,0.589733575,0.591132027,0.682581852,0.069825801,IA,0,AT
76,76,82,164,0.239315558,0,0.311158597,0.617565164,0.589733575,0.591132027,0.682581852,0.062403204,IA,0,AT
77,77,83,152,0.103357287,0.197905315,0.275118621,0.615562119,0.5878208,0.589214716,0.680367927,0.005458771,Int_AF,0,AT
78,78,83,153,0.10307867,0.197933697,0.251111251,0.615562119,0.5878208,0.589214716,0.680367927,0.007338442,MF,0,AT
79,79,83,154,0,0.184207284,0,0.615562119,0.5878208,0.589214716,0.680367927,0.021775001,MF,0,AT
80,80,83,155,0.218689707,0.115487151,0.307165743,0.615562119,0.5878208,0.589214716,0.680367927,0.025714586,Mix_Fa,0,AT
81,81,83,156,0.218525183,0.121819768,0.307385663,0.615562119,0.5878208,0.589214716,0.680367927,0.019500514,Multifun,0,AT
82,82,83,157,0.382205557,0,0.347110104,0.615562119,0.5878208,0.589214716,0.680367927,0.01943185,Multifun,0,AT
83,83,83,158,0.354563689,0,0.307941731,0.615562119,0.5878208,0.589214716,0.680367927,0.033121691,IA,0,AT
