x,y,Crop.productivity,Forest.productivity,Grassland.productivity,Financial.capital,Human.capital,Social.capital,Manufactured.capital,Urban.capital,FR,BT
157,72,0.077382016,0.244190283,0.472703803,0.623504481,0.588361751,0.610020485,0.614781631,0.09315242,Mix_P,0
158,72,0.079157507,0.235970294,0.473943989,0.623504481,0.588361751,0.610020485,0.614781631,0.040875812,Int_AF,0
159,72,0.080113535,0.237251298,0.471235433,0.623504481,0.588361751,0.610020485,0.614781631,0.041364544,Int_AF,0
154,73,0,0.185582603,0.253935005,0.621598169,0.586562885,0.608155398,0.612901988,0,MF,0
155,73,0.082767564,0.245786609,0.474233602,0.621598169,0.586562885,0.608155398,0.612901988,0.049848905,IP,0
156,73,0.077939499,0.253443111,0.472360942,0.621598169,0.586562885,0.608155398,0.612901988,0.149927645,Int_AF,0
157,73,0.077752496,0.253443111,0.471618498,0.621598169,0.586562885,0.608155398,0.612901988,0.044294388,Int_AF,0
158,73,0.079782142,0.253443111,0.472364576,0.621598169,0.586562885,0.608155398,0.612901988,0.022244642,Int_AF,0
159,73,0.081166481,0.253443111,0.472760114,0.621598169,0.586562885,0.608155398,0.612901988,0.047208959,Int_AF,0
147,74,0,0,0.297326074,0.619686307,0.584758782,0.606284883,0.611016873,0.009017094,EP,0
148,74,0,0,0.265999361,0.619686307,0.584758782,0.606284883,0.611016873,0.009705962,EP,0
149,74,0,0,0.262706876,0.619686307,0.584758782,0.606284883,0.611016873,0.005926024,EP,0
150,74,0,0,0.272105297,0.619686307,0.584758782,0.606284883,0.611016873,0.016691781,EP,0
151,74,0,0,0.26443969,0.619686307,0.584758782,0.606284883,0.611016873,0.007683518,EP,0
152,74,0,0,0.268955932,0.619686307,0.584758782,0.606284883,0.611016873,0.017548449,EP,0
153,74,0,0,0.268048138,0.619686307,0.584758782,0.606284883,0.611016873,0,EP,0
154,74,0,0.328138412,0.453713301,0.619686307,0.584758782,0.606284883,0.611016873,0.081021376,Mix_P,0
155,74,0,0.188985483,0.267325743,0.619686307,0.584758782,0.606284883,0.611016873,0.058279928,Ext_AF,0
156,74,0.076465728,0.25290065,0.474646509,0.619686307,0.584758782,0.606284883,0.611016873,0.366300695,P-Ur,0
157,74,0.082844875,0.249399418,0.472358339,0.619686307,0.584758782,0.606284883,0.611016873,0.058765668,Int_AF,0
158,74,0.0810431,0.252663591,0.470657584,0.619686307,0.584758782,0.606284883,0.611016873,0.046736987,Int_AF,0
159,74,0.286588194,0,0.330362823,0.619686307,0.584758782,0.606284883,0.611016873,0.025240799,IA,0
160,74,0.402064425,0.179707804,0.416284373,0.619686307,0.584758782,0.606284883,0.611016873,0.058377076,IA,0
147,75,0,0,0.271552983,0.61776916,0.582949692,0.604409197,0.609126547,0.000228912,Multifun,0
148,75,0,0,0.261581716,0.61776916,0.582949692,0.604409197,0.609126547,0.007017033,EP,0
149,75,0,0,0.266382746,0.61776916,0.582949692,0.604409197,0.609126547,0.006832143,EP,0
150,75,0,0,0.271422625,0.61776916,0.582949692,0.604409197,0.609126547,0.011560056,EP,0
151,75,0,0,0.270351365,0.61776916,0.582949692,0.604409197,0.609126547,0.021209577,EP,0
152,75,0,0,0.272361153,0.61776916,0.582949692,0.604409197,0.609126547,0.093404898,EP,0
153,75,0,0.355584719,0.448732531,0.61776916,0.582949692,0.604409197,0.609126547,0.032470286,IP,0
154,75,0,0,0.267049179,0.61776916,0.582949692,0.604409197,0.609126547,0.00165521,EP,0
155,75,0,0.376446678,0.45804058,0.61776916,0.582949692,0.604409197,0.609126547,0.026298466,Mix_P,0
156,75,0,0.327123238,0.458105586,0.61776916,0.582949692,0.604409197,0.609126547,0.031360943,Mix_P,0
157,75,0,0.178550664,0.274349568,0.61776916,0.582949692,0.604409197,0.609126547,0.039619384,MF,0
158,75,0.083275521,0.246959338,0.471313044,0.61776916,0.582949692,0.604409197,0.609126547,0.03070062,IP,0
159,75,0,0.175638643,0,0.61776916,0.582949692,0.604409197,0.609126547,0.030665403,MF,0
146,76,0,0,0.262956754,0.615846464,0.581135365,0.602528081,0.60723075,0.015587784,Multifun,0
147,76,0,0,0.266708846,0.615846464,0.581135365,0.602528081,0.60723075,0.0118576,Multifun,0
148,76,0,0,0.263472174,0.615846464,0.581135365,0.602528081,0.60723075,0.003932054,Multifun,0
149,76,0,0,0.261710939,0.615846464,0.581135365,0.602528081,0.60723075,0,Multifun,0
150,76,0,0,0.25968911,0.615846464,0.581135365,0.602528081,0.60723075,0.006679225,Multifun,0
151,76,0,0,0.259505402,0.615846464,0.581135365,0.602528081,0.60723075,0.003554647,Multifun,0
152,76,0,0,0.265346001,0.615846464,0.581135365,0.602528081,0.60723075,0.008285399,Multifun,0
153,76,0,0,0.271881733,0.615846464,0.581135365,0.602528081,0.60723075,0.031675852,EP,0
154,76,0,0.326105125,0.448303249,0.615846464,0.581135365,0.602528081,0.60723075,0.086917705,IP,0
155,76,0,0.340347342,0.448472508,0.615846464,0.581135365,0.602528081,0.60723075,0.072900978,IP,0
156,76,0,0.326105125,0.449258188,0.615846464,0.581135365,0.602528081,0.60723075,0.050827061,IP,0
157,76,0,0.382141749,0.275731819,0.615846464,0.581135365,0.602528081,0.60723075,0.002966594,MF,0
158,76,0,0.497879623,0.263276728,0.615846464,0.581135365,0.602528081,0.60723075,0.015500015,MF,0
159,76,0.081482976,0.231095868,0.470664051,0.615846464,0.581135365,0.602528081,0.60723075,0.017703019,Multifun,0
160,76,0,0.20143141,0,0.615846464,0.581135365,0.602528081,0.60723075,0.052696542,MF,0
146,77,0,0,0.269847312,0.613918483,0.579316051,0.600641795,0.605329741,0.026589513,Multifun,0
147,77,0,0,0.270099372,0.613918483,0.579316051,0.600641795,0.605329741,0.012564179,Multifun,0
148,77,0,0,0.267068748,0.613918483,0.579316051,0.600641795,0.605329741,0.026397026,Multifun,0
149,77,0,0,0.258698889,0.613918483,0.579316051,0.600641795,0.605329741,0.03031677,Multifun,0
